accession	description	tax_id	base_count	first_public
AY095945	Drosophila curvispina isolate cur2 alcohol dehydrogenase (Adh) gene, partial cds.	126591	443	2003-05-01
AY156524	Drosophila navojoa alcohol dehydrogenase 1 (adh-1) gene, complete cds.	7232	879	2003-03-03
MK017208	UNVERIFIED: Drosophila magnaquinaria adh-related-like (Adhr) gene, partial sequence.	383693	481	2018-12-05
MK017220	UNVERIFIED: Drosophila tenebrosa adh-related-like (Adhr) gene, partial sequence.	614641	495	2018-12-05
AY095948	Drosophila unispina isolate uni2 alcohol dehydrogenase (Adh) gene, partial cds.	193352	442	2003-05-01
MK017204	UNVERIFIED: Drosophila falleni adh-related-like (Adhr) gene, partial sequence.	7279	495	2018-12-05
MK017216	UNVERIFIED: Drosophila suboccidentalis adh-related-like (Adhr) gene, partial sequence.	198723	495	2018-12-05
AF136684	Drosophila americana americana G96.38Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136689	Drosophila americana americana G96.13Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136703	Drosophila americana texana LP97.12 alcohol dehydrogenase (Adh) gene, partial cds.	40372	884	1999-06-03
LC057788	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: X108.	7291	846	2015-06-26
LC057800	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: MYS12.	42062	851	2015-06-26
AF136671	Drosophila americana americana G96.11X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136693	Drosophila americana americana G96.45Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136697	Drosophila americana americana G96.12Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
LC057778	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: K39.	7291	846	2015-06-26
LC057790	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: ADM3.	42062	851	2015-06-26
LC057792	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: C3.	42062	851	2015-06-26
LC057794	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: CJB15.	42062	851	2015-06-26
U76475	Drosophila hydei strain 7 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	897	1996-11-19
AF136660	Drosophila americana americana G96.12X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136666	Drosophila americana americana G96.24X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
EF560574	Drosophila gasici pop-variant Arica alcohol dehydrogenase (adh) gene, partial cds.	306028	622	2008-05-01
LC057791	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: BZV1.	42062	851	2015-06-26
U76471	Drosophila hydei strain 3 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	897	1996-11-19
U76469	Drosophila hydei strain 1 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	897	1996-11-19
AF136701	Drosophila americana texana LP97.05 alcohol dehydrogenase (Adh) gene, partial cds.	40372	884	1999-06-03
EF560575	Drosophila gasici pop-variant Cochabamba alcohol dehydrogenase (adh) gene, partial cds.	306028	622	2008-05-01
AF136664	Drosophila americana americana G96.23X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AY695390	Drosophila dunni strain Puerto Rico alcohol dehydrogenase (Adh) mRNA, partial cds.	133979	385	2006-08-01
LC057793	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: C72.	42062	851	2015-06-26
AY340286	Drosophila americana pop-variant NN97.08X alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AY340290	Drosophila americana pop-variant N00.05X alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AY340300	Drosophila americana pop-variant NN97.02Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AB932672	Drosophila ruberrima Adh gene for alcohol dehydrogenase, partial cds, strain: E-14601.	98362	858	2014-10-26
AY340279	Drosophila americana pop-variant DN00.02X alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
U76481	Drosophila mulleri strain -1371.18 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231	902	1997-03-06
AF136650	Drosophila americana americana D.am-.0X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136653	Drosophila americana americana D.am-.9X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AY340291	Drosophila americana pop-variant NN00.07X alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AF136652	Drosophila americana americana D.am-.6X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136655	Drosophila americana americana D.am-.7X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AY340293	Drosophila americana pop-variant DN00.01Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AY340297	Drosophila americana pop-variant DN01.02Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AY340298	Drosophila americana pop-variant DN01.03Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AY340304	Drosophila americana pop-variant NN00.03Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
U76479	Drosophila mulleri strain -1371.1 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231	902	1997-03-06
AY695384	Drosophila arawakana alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	30017	1141	2006-08-01
AY044130	Drosophila formosana alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157056	721	2002-08-06
AY154862	Drosophila arizonae strain ARTU 35 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	880	2003-03-03
AY154849	Drosophila arizonae strain AR00 13 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	878	2003-03-03
AY154851	Drosophila arizonae strain AR00 1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	880	2003-03-03
AY154848	Drosophila arizonae strain AR00 6 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	878	2003-03-03
AY154859	Drosophila arizonae strain ARTU 22 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	880	2003-03-03
AY695388	Drosophila dunni strain St. Croix alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133979	1141	2006-08-01
AY154866	Drosophila mojavensis strain MJBC 35.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	880	2003-03-03
AY154865	Drosophila mojavensis strain MJBC 33.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	880	2003-03-03
AY154828	Drosophila mojavensis strain MJBC 33.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	880	2003-03-03
AY154839	Drosophila mojavensis strain MJBC 205.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	880	2003-03-03
EF136977	Drosophila americana isolate FP99.27 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136982	Drosophila americana isolate HI99.31 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF137002	Drosophila americana isolate IR04.12 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136979	Drosophila americana isolate HI99.03 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136974	Drosophila americana isolate FP99.85 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136989	Drosophila americana isolate SB02.02 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136998	Drosophila americana isolate SB02.11 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
MN267997	Drosophila subquinaria isolate S_PO_21 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267975	Drosophila recens isolate R_NB_7 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267993	Drosophila subquinaria isolate S_MS_18 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267999	Drosophila subquinaria isolate S_PO_84 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267968	Drosophila recens isolate R_HI_45 ADH-related protein (ADH-R) gene, partial cds.	55946	553	2019-08-23
MN267974	Drosophila recens isolate R_NB_6 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN268007	Drosophila transversa isolate T_UP_3 ADH-related protein (ADH-R) gene, partial cds.	193351	552	2019-08-23
MN267987	Drosophila subquinaria isolate S_HI_26 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267995	Drosophila subquinaria isolate S_MS_4 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267970	Drosophila recens isolate R_KA_174 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267996	Drosophila subquinaria isolate S_PO_101 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267979	Drosophila recens isolate R_NY_18 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267990	Drosophila subquinaria isolate S_KA_175 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
U65746	Drosophila buzzatii alcohol dehydrogenase (Adh-P) pseudogene, and alcohol dehydrogenase 2 (Adh-2) and alcohol dehydrogenase 1 (Adh-1) genes, complete cds.	7264	8725	1996-10-21
AJ005667	Drosophila virilis ADH gene, partial	7244	109	1998-10-22
M37276	Drosophila mojavensis alcohol dehydrogenase-2 (Adh-2) and alcohol dehydrogenase-1 (Adh-1) genes, complete cds.	7230	8783	1990-09-13
AY081440	Drosophila tripunctata alcohol dehydrogenase (Adh) gene, partial cds.	141217	217	2002-08-09
AY750123	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	7252	911	2005-12-31
AY750132	Drosophila euronotus alcohol dehydrogenase (Adh) gene, partial cds.	55945	911	2005-12-31
AY750144	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	311480	911	2005-12-31
DQ471630	Drosophila barutani alcohol dehydrogenase (Adh) gene, partial cds.	381452	711	2006-07-20
AY750118	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.	311474	911	2005-12-31
DQ471667	Drosophila repleta alcohol dehydrogenase (Adh) gene, partial cds.	30043	711	2006-07-20
U26839	Drosophila borealis alcohol dehydrogenase (Adh) gene, complete cds.	40368	961	1995-06-30
AF059889	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	7252	290	1998-04-28
AY750116	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.	119604	911	2005-12-31
AY750127	Drosophila paramelanica alcohol dehydrogenase (Adh) gene, partial cds.	311477	911	2005-12-31
AY750130	Drosophila neokadai alcohol dehydrogenase (Adh) gene, partial cds.	311476	911	2005-12-31
AY750136	Drosophila okadai alcohol dehydrogenase (Adh) gene, partial cds.	311481	911	2005-12-31
DQ471655	Drosophila americana alcohol dehydrogenase (Adh) gene, partial cds.	40366	711	2006-07-20
AY750139	Drosophila sordidula alcohol dehydrogenase (Adh) gene, partial cds.	55950	911	2005-12-31
DQ471659	Drosophila eohydei alcohol dehydrogenase (Adh) gene, partial cds.	54075	711	2006-07-20
DQ471661	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, partial cds.	50033	711	2006-07-20
OP168391	Drosophila bromeliae isolate Dbm_Ah Adh gene, partial cds.	7278	895	2023-06-14
OP168475	Drosophila bromeliae isolate Dbm_4610 Adh gene, partial cds.	7278	780	2023-06-14
AB261136	Drosophila pallidifrons Adh gene for alcohol dehydrogenase, partial cds.	88884	861	2007-11-03
AB932648	Drosophila bizonata Adh gene for alcohol dehydrogenase, partial cds.	188282	844	2015-01-14
AB932646	Drosophila angularis Adh gene for alcohol dehydrogenase, partial cds.	309934	840	2014-10-26
AB932662	Drosophila multispina Adh gene for alcohol dehydrogenase, partial cds.	1503162	852	2014-10-26
U26842	Drosophila montana alcohol dehydrogenase (Adh-1) gene, complete cds.	40370	957	1995-06-22
AB033644	Drosophila brachynephros Adh mRNA for alcohol dehydrogenase, partial cds.	106246	711	1999-11-16
AB261135	Drosophila siamana Adh gene for alcohol dehydrogenase, partial cds.	157059	855	2007-11-03
AB932664	Drosophila nigromaculata Adh gene for alcohol dehydrogenase, partial cds.	198721	849	2015-01-14
AB932678	Drosophila transversa Adh gene for alcohol dehydrogenase, partial cds.	193351	839	2014-10-26
AB932679	Drosophila tripunctata Adh gene for alcohol dehydrogenase, partial cds.	141217	836	2014-10-26
AB932680	Drosophila unispina Adh gene for alcohol dehydrogenase, partial cds.	193352	848	2015-01-14
AY156525	Drosophila navojoa alcohol dehydrogenase 2 (adh-2) gene, complete cds.	7232	878	2003-03-03
AY095943	Drosophila curvispina isolate cur3 alcohol dehydrogenase (Adh) gene, partial cds.	126591	443	2003-05-01
DQ471613	Drosophila angor strain B123 alcohol dehydrogenase (Adh) gene, partial cds.	381448	711	2006-07-20
DQ471644	Drosophila barutani strain 178 alcohol dehydrogenase (Adh) gene, partial cds.	381452	711	2006-07-20
DQ471653	Drosophila kanekoi strain 248 alcohol dehydrogenase (Adh) gene, partial cds.	50033	711	2006-07-20
DQ471654	Drosophila tsigana strain JP275 alcohol dehydrogenase (Adh) gene, partial cds.	65966	711	2006-07-20
DQ471628	Drosophila angor strain Taiwan alcohol dehydrogenase (Adh) gene, partial cds.	381448	711	2006-07-20
AY095938	Drosophila transversa isolate tra2 alcohol dehydrogenase (Adh) gene, partial cds.	193351	437	2003-05-01
MK017201	UNVERIFIED: Drosophila angularis adh-related-like (Adhr) gene, partial sequence.	309934	495	2018-12-05
AF136695	Drosophila americana americana G96.14Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
LC057782	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: MMY1.	7291	851	2015-06-26
LC057784	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TAK2.	7291	851	2015-06-26
LC057786	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TSN7.	7291	851	2015-06-26
AF136661	Drosophila americana americana G96.48X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136667	Drosophila americana americana G96.33X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136668	Drosophila americana americana G96.21X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136699	Drosophila americana texana LP97.01 alcohol dehydrogenase (Adh) gene, partial cds.	40372	884	1999-06-03
LC057774	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: CM137.	7291	851	2015-06-26
LC057783	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: NG3.	7291	851	2015-06-26
LC057785	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TOK5.	7291	851	2015-06-26
LC057796	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: I7.	42062	851	2015-06-26
LC057798	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: M22.	42062	851	2015-06-26
LC057799	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: MS77.	42062	851	2015-06-26
AF136682	Drosophila americana americana G96.47Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136688	Drosophila americana americana G96.33Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AF136694	Drosophila americana americana G96.11Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
EF560573	Drosophila brncici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306027	622	2008-05-01
AF136659	Drosophila americana americana G96.14X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
U76477	Drosophila hydei strain 9 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	897	1996-11-19
U76473	Drosophila hydei strain 5 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	897	1996-11-19
AF136676	Drosophila americana americana D.am-.1Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AY340288	Drosophila americana pop-variant NN00.03X alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AY340299	Drosophila americana pop-variant DN01.05Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AY340303	Drosophila americana pop-variant NN97.09Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AY340307	Drosophila americana pop-variant NN00.09Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AB932669	Drosophila putrida Adh gene for alcohol dehydrogenase, partial cds, strain: E-22401.	38840	856	2014-10-26
AY340296	Drosophila americana pop-variant DN01.01Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
EF560580	Drosophila pavani pop-variant La Florida alcohol dehydrogenase (adh) gene, partial cds.	306031	626	2008-05-01
AF136651	Drosophila americana americana D.am-.1X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AY340283	Drosophila americana pop-variant DN01.05X alcohol dehydrogenase (Adh) gene, partial cds.	40366	881	2003-08-13
AF136654	Drosophila americana americana D.am-.3X alcohol dehydrogenase (Adh) gene, partial cds.	95109	884	1999-06-03
AB932650	Drosophila cardini Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701.	133981	833	2014-10-26
AY695387	Drosophila caribiana alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133974	1141	2006-08-01
AY044128	Drosophila ruberrima alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	98362	720	2002-08-06
AY044129	Drosophila neohypocausta alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157057	747	2002-08-06
AY154841	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	879	2003-03-03
AY154858	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	880	2003-03-03
AB932645	Drosophila acutilabella Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2171.10.	133978	845	2014-10-26
AY154840	Drosophila arizonae strain ARTU 10 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	878	2003-03-03
AY154846	Drosophila arizonae strain ARTU 36 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	879	2003-03-03
AY340289	Drosophila americana pop-variant NN00.04-8X alcohol dehydrogenase (Adh) gene, partial cds.	40366	852	2003-08-13
AY044124	Drosophila kohkoa alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	88883	725	2002-08-06
AY044125	Drosophila siamana alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157059	725	2002-08-06
AY154853	Drosophila arizonae strain AR00 4 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	880	2003-03-03
AB932647	Drosophila arawakana Adh gene for alcohol dehydrogenase, partial cds, strain: 15182-2261.03.	30017	838	2014-10-26
AY154833	Drosophila mojavensis strain MJBC 95.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	880	2003-03-03
AY154871	Drosophila mojavensis strain MJBC 103.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	880	2003-03-03
AY154873	Drosophila mojavensis strain MJBC 115.4 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	880	2003-03-03
AY165542	Drosophila novamexicana alcohol dehydrogenase (Adh) gene, exons 1, 2, and 3 and partial cds.	47314	743	2003-05-01
AY154831	Drosophila mojavensis strain MJBC 47.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	880	2003-03-03
AY154875	Drosophila mojavensis strain MJBC 202.2 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	878	2003-03-03
X03048	Drosophila mulleri adh genes for alcohol dehydrogenase (adh-1, adh-2, pseudo-adh)	7231	6778	1986-07-02
X12536	Drosophila mojavensis Adh-1, Adh-2 and Adh-psi genes	7230	8783	1988-08-22
EF136969	Drosophila americana isolate FP99.05 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136970	Drosophila americana isolate FP99.13 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF137005	Drosophila americana isolate IR04.36 Adh (Adh) gene, partial cds.	40366	845	2006-12-24
EF136983	Drosophila americana isolate HI99.55 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136996	Drosophila americana isolate SB02.15 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF137006	Drosophila americana isolate IR04.69 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF137008	Drosophila americana isolate IR04.109 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
L26039	Drosophila peninsularis adh pseudogene.	30014	1448	1994-02-07
MN267983	Drosophila subquinaria isolate S_DE_2 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267969	Drosophila recens isolate R_KA_142 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267989	Drosophila subquinaria isolate S_KA_12 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN268009	Drosophila transversa isolate T_UP_5 ADH-related protein (ADH-R) gene, partial cds.	193351	552	2019-08-23
MN267977	Drosophila recens isolate R_NO ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267986	Drosophila subquinaria isolate S_HI_25 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN268010	Drosophila transversa isolate T_UP_6 ADH-related protein (ADH-R) gene, partial cds.	193351	552	2019-08-23
MN267962	Drosophila recens isolate R_SM_15 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267988	Drosophila subquinaria isolate S_HI_32 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
Y17611	Drosophila funebris Adh and Adhr genes	7221	4059	2001-01-16
U77607	Drosophila buzzatii Adh-Finnegan gene, partial cds.	7264	904	1996-11-26
U77609	Drosophila buzzatii Adh-Finnegan gene, partial cds.	7264	903	1996-11-26
